2024-01-16 12:22:10,668 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59439), raddr=('127.0.0.1', 50002)>(John):whats your name?
2024-01-16 12:22:26,058 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59439), raddr=('127.0.0.1', 50002)>(John):quit
2024-01-16 12:27:03,062 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59445), raddr=('127.0.0.1', 50002)>(Kostas):rsthwrhe
2024-01-16 12:27:37,539 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59456), raddr=('127.0.0.1', 50002)>(John):how are you?
2024-01-16 12:27:41,405 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59456), raddr=('127.0.0.1', 50002)>(John):quit
2024-01-16 12:27:45,748 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59445), raddr=('127.0.0.1', 50002)>(Kostas):quit
2024-01-16 12:57:05,040 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59568), raddr=('127.0.0.1', 50002)>(John):how are you?
2024-01-16 12:57:32,365 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas):hi
2024-01-16 12:57:35,937 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas):dbrtjet6j5jer67k
2024-01-16 12:57:46,231 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas):jetyjt6j
2024-01-16 12:57:50,192 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas):je6je6je56
2024-01-16 12:57:56,912 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas):quit
2024-01-16 12:58:05,882 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59568), raddr=('127.0.0.1', 50002)>(John):quit
2024-01-16 13:00:25,635 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59595), raddr=('127.0.0.1', 50002)>(Kostas):gwrhhwrhr
2024-01-16 13:01:42,846 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59600), raddr=('127.0.0.1', 50002)>(George):hi
2024-01-16 13:01:45,275 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59600), raddr=('127.0.0.1', 50002)>(George):quit
2024-01-16 13:01:51,832 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59595), raddr=('127.0.0.1', 50002)>(Kostas):quit
2024-01-16 13:41:58,606 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59859), raddr=('127.0.0.1', 50002)>(Kostas):gewrhgwr5hw6uj
2024-01-16 13:43:02,967 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59860), raddr=('127.0.0.1', 50002)>(John):how are you??
2024-01-16 13:43:39,825 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59865), raddr=('127.0.0.1', 50002)>(George):whats your name??
2024-01-16 13:43:46,035 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59865), raddr=('127.0.0.1', 50002)>(George):quit
