2024-01-16 12:22:03,349 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59439), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-16 12:22:26,059 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59439), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-16 12:27:00,936 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59445), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-16 12:27:32,470 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59456), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-16 12:27:41,407 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59456), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-16 12:27:45,749 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59445), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-16 12:56:57,969 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59568), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-16 12:57:29,333 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-16 12:57:56,913 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59570), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-16 12:58:05,883 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59568), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-16 13:00:22,966 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59595), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-16 13:01:38,496 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59600), raddr=('127.0.0.1', 50002)>(George): Successful Login
2024-01-16 13:01:45,276 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59600), raddr=('127.0.0.1', 50002)>(George): Connection closed
2024-01-16 13:01:51,833 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59595), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-16 13:41:33,754 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59859), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-16 13:42:55,166 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59860), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-16 13:43:32,410 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59865), raddr=('127.0.0.1', 50002)>(George): Successful Login
2024-01-16 13:43:46,036 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59865), raddr=('127.0.0.1', 50002)>(George): Connection closed
2024-01-16 13:44:12,714 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59860), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-16 13:44:25,066 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59859), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-16 14:23:12,171 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59963), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-16 14:24:09,430 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59966), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-16 14:24:19,090 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59966), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-16 14:24:24,603 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 59963), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-18 09:18:21,825 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54471), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-18 09:19:00,883 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54473), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-18 09:19:31,483 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54473), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-18 09:19:38,695 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54471), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
2024-01-18 10:36:36,065 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54824), raddr=('127.0.0.1', 50002)>(Kostas): Successful Login
2024-01-18 10:37:28,187 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54833), raddr=('127.0.0.1', 50002)>(John): Successful Login
2024-01-18 10:38:05,358 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54833), raddr=('127.0.0.1', 50002)>(John): Connection closed
2024-01-18 10:38:15,457 <socket.socket fd=5, family=2, type=1, proto=0, laddr=('127.0.0.1', 54824), raddr=('127.0.0.1', 50002)>(Kostas): Connection closed
