2024-01-16 12:27:00,936 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59445)>(Kostas): Successful login
2024-01-16 12:27:32,470 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59456)>(John): Successful login
2024-01-16 12:27:41,408 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59456)>(John): Connection closed
2024-01-16 12:27:45,750 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59445)>(Kostas): Connection closed
2024-01-16 12:56:57,969 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59568)>(John): Successful login
2024-01-16 12:57:29,333 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59570)>(Kostas): Successful login
2024-01-16 12:57:56,914 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59570)>(Kostas): Connection closed
2024-01-16 12:58:05,883 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59568)>(John): Connection closed
2024-01-16 13:00:22,966 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59595)>(Kostas): Successful login
2024-01-16 13:01:38,497 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59600)>(George): Successful login
2024-01-16 13:01:45,276 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59600)>(George): Connection closed
2024-01-16 13:01:51,834 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59595)>(Kostas): Connection closed
2024-01-16 13:41:33,753 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59859)>(Kostas): Successful login
2024-01-16 13:42:55,166 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59860)>(John): Successful login
2024-01-16 13:43:32,410 <socket.socket fd=13, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59865)>(George): Successful login
2024-01-16 13:43:46,037 <socket.socket fd=13, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59865)>(George): Connection closed
2024-01-16 13:44:12,714 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59860)>(John): Connection closed
2024-01-16 13:44:25,066 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59859)>(Kostas): Connection closed
2024-01-16 14:23:12,170 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59963)>(Kostas): Successful login
2024-01-16 14:24:09,430 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59966)>(John): Successful login
2024-01-16 14:24:19,090 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59966)>(John): Connection closed
2024-01-16 14:24:24,603 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 59963)>(Kostas): Connection closed
2024-01-18 09:18:21,825 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54471)>(Kostas): Successful login
2024-01-18 09:19:00,882 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54473)>(John): Successful login
2024-01-18 09:19:31,484 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54473)>(John): Connection closed
2024-01-18 09:19:38,695 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54471)>(Kostas): Connection closed
2024-01-18 09:42:10,199 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002)>: Error during login: [Errno 54] Connection reset by peer
2024-01-18 10:36:36,065 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54824)>(Kostas): Successful login
2024-01-18 10:37:28,187 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54833)>(John): Successful login
2024-01-18 10:38:05,358 <socket.socket fd=12, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54833)>(John): Connection closed
2024-01-18 10:38:15,457 <socket.socket fd=11, family=2, type=1, proto=0, laddr=('127.0.0.1', 50002), raddr=('127.0.0.1', 54824)>(Kostas): Connection closed
